19/12/2014,,,,
Housing,Target,34.17,0,"puffs, charmin, bounty"
Housing,AllState Insurance,0,91,
Technology,Newegg,184.73,0,router
Food,Kobe Curry,27.73,0,
Housing,Target,16.72,0,"soap pump, toothbrush holder, wastebasket"
Housing,Bed Bath & Beyond,167.76,0,comforter
Food,Sushi 88 Ramen,58.4,0,
Technology,Best Buy,95.96,0,modem
Rent,Madera,0,3800,rent deposit
Housing,Sleeptrain,651.41,0,mattress
Transfer,To Jessica,1900,-1900,half rent
Transportation,Zipcar,62.95,0,
Housing,Amazon,0,48.72,"lunchbox, hairdryer"
20/12/2014,,,,
Housing,Bed Bath and Beyond,681.77,0,"linens, blankets, shower curtains, etc"
Food,Doppio Zero,0,72,"pizza, pasta, panna cotta"
Transportation,Zipcar,75.06,0,
21/12/2014,,,,
Rent,Madera,1593.55,0,December Rent
Housing,Pillows,97.88,0,
24/12/2014,,,,
Housing,Muji,52.57,0,"chopsticks, rice box"
Transportation,Zipcar,48.96,0,
Housing,Amazon,0,63.41,"tape measure, mavea, dryer balls"
Food,Shabuway,48,0,shabu shabu
Food,Pho Hoa & Jazen Tea,0,21,pho
Food,Doppio Zero,0,16.31,desserts
Housing,Amazon,0,229.63,"rice cooker, toilet plunger & brush, cleaning cloths, bandaids, kettle"
Housing,Noritake,113.52,0,dish sets
Housing,Amazon,0,97.85,"trash & recycling bin, compost bin"
26/12/2014,,,,
Housing,Amazon,0,93.53,t-fal cookware set
Housing,Amazon,193.97,0,power tools
Housing,Bambu,0,87.08,"bamboo cutting board, utensils, goo"
27/12/2014,,,,
Food,99 Ranch,170.63,,chinese groceries
Housing,Crate & Barrel,304.46,,"flatware, mats"
Food,Pho Hoa & Jazen Tea,14,10,pho
Food,Ocha Tea,29,,taiwan food
Food,Crepe Vine,8.25,,crepe
Rent,Comcast,89.99,,internet
Transportation,Zipcar,86.6,,
28/12/2014,,,,
Housing,Amazon,0,440.54,"adesso lamp, hampers, swiffer wetjet, tub scrubber, french press coffee maker, garlic press, utensil set, utensil organizer, toaster, compost bags"
Transfer,To Terence,-1000,1000,
28/12/2014,,,,
Housing,Amazon,78.09,0,"light bulb, cable ties, drain covers"
Food,Downtown market,31,0,groceries
Food,Han Gen,30,0,dinner
30/12/2014,,,,
Housing,Steelcase,1790.4,0,desk chairs
Housing,Amazon,0,139.09,coffee grinder
Housing,Amazon,36.95,,light bulb
31/12/2014,,,,
Food,Safeway,204.03,0,lots of groceries
Housing,6pm ,0,51.09,"hamper, dish rack"
Housing,Newegg,0,155.86,vacuum cleaner
1/1/2015,,,,
Housing,Amazon,0,130.49,wake-up light alarm
Housing,Amazon,0,64.07,"mixing bowls, ramekins"
3/1/2015,,,,
Transportation,Zipcar,66.42,0,
Housing,Bed Bath & Beyond,156.56,0,"hair iron, hair conditioner, drain plug"
4/1/2015,,,,
Rent,Madera,2800,0,January rent
Food,Safeway,80.02,0,groceries
Food,Nob Hill,22.15,0,groceries
Food,99 Ranch,18.07,0,groceries
Housing,IKEA,379.32,0,2x Desks
Transportation,Zipcar,125.03,0,
5/1/2015,,,,
Housing,Amazon,54.5,0,tools
6/1/2015,,,,
Housing,Amazon,175.32,0,"kitchen utensils, baking tools"
6/1/2015,,,,
Housing,Amazon,86.77,0,"garbage bins, drawer organizer"
9/1/2015,,,,
Transfer,To Terence,-1000,1000,
Housing,Groupon,0,53.73,
10/1/2015,,,,
Technology,Best Buy,456.72,0,"Wii U, speakers"
11/1/2015,,,,
Technology,Best Buy,108.71,0,Wiimotes
Housing,Walgreens,35.51,0,"nose strips, vaseline, toothpaste"
Housing,Muji,183.52,0,tableware
Transportation,Zipcar,96.8,0,
Transfer,To Terence,-1000,1000,
12/1/2015,,,,
Housing,Amazon,110.1,0,cookware
13/1/2015,,,,
Housing,Amazon,55.74,0,tools
16/1/2015,,,,
Food,Niri Sushi,28.5,30,dinner
17/1/2015,,,,
Food,Pho Hoa & Jazen Tea,28,0,lunch
Transportation,Zipcar,68,0,
Food,Safeway,134.36,0,groceries
Housing,Amazon,25.7,0,cookware
19/1/2015,,,,
Housing,Crate & Barrel,0,319.86,console table
Housing,Muji,0,228.59,"clock, gloves, etc."
Housing,Zazzle,0,25.34,"mousepad, magnets"
Housing,Crate & Barrel,70,0,"glasses, utensils"
Transportation,Zipcar,27.2,0,
Technology,Dell,937.24,0,2x P2415Q
Transfer,To Terence,-1000,1000,
21/1/2015,,,,
Transfer,To Terence,-1000,1000,
21/1/2015,,,,
Housing,Amazon,0,78.3,Amazon prime
Technology,Amazon,39.2,0,SSB4
25/1/2015,,,,
Technology,Gamestop,54.36,0,WiiU Pro controller
28/1/2015,,,,
Rent,PG & E,51.35,0,January hydro
30/1/2015,,,,
Technology,Amazon,0,54.36,WiiU Pro controller
30/1/2015,,,,
Food,Fu Lam Mum,50,0,dinner
31/1/2015,,,,
Transportation,Zipcar,37.51,0,
Housing,Bed Bath & Beyond,119.53,0,"bakeware, oil bottle, kitchen mat"
Food,Safeway,141.63,0,
Dinner,Pho Hoa & Jazen Tea,1,30,dinner
1/2/2015,,,,
Rent,Madera,3835.37,0,February rent
Housing,Amazon,0,19.99,flashlight
Transfer,To Terence,-1000,1000,
Entertainment,Volvo,0,4.99,Life is Strange
3/2/2015,,,,
Transfer,To Jessica,6000,-6000,XE to CAD
Housing,Noritake,113.52,0,dinnerware
4/2/2015,,,,
Transfer,To Terence,-6000,6000,XE transfer
8/2/2015,,,,
Housing,Target,71.43,0,"Kleenex, detergent"
Food,Yakko,72,0,dinner
Transportation,Zipcar,25.03,0,
11/2/2015,,,,
Housing,Amazon,38,0,"picture hangers, Mavea filters"
Food,Pho Hoa & Jazen Tea,25,0,dinner
14/2/2015,,,,
Transportation,Zipcar,43.77,0,
Food,Yakko,132.5,0,Dinner
16/2/2015,,,,
Transportation,Zipcar,16.33,0,
Food,Safeway,111.47,0,groceries
21/2/2015,,,,
Transportation,Zipcar,43.77,0,
Food,Chef Zhao's,35,0,dinner
23/2/2015,,,,
Food,Pho Hoa & Jazen Tea,18,0,dinner
26/2/2015,,,,
Activities,Synergy Badminton,16,0,badminton
Transportation,Uber,0,12,ride home
Food,Mcdonalds,8.35,0,desserts
27/2/2015,,,,
Housing,Muji,1660.34,0,"bed frame, coat hanger"
Housing,Muji,169.91,12,"dishware, garbage bin, water jug, chopsticks, rice box, flatware"
Housing,PG & E,60.85,0,February hydro
28/2/2015,,,,
Food,Scratch,51,0,lunch
Food,99 Ranch,169.23,0,groceries
Food,Niyija Market,12.57,0,groceries
Housing,Walgreens,89.23,0,"shampoo, conditioner, wipes"
Transportation,Zipcar,31.27,0,
Food,Starbucks,0,7.2,coffee
1/3/2015,,,,
Rent,Madera,0,3881,March rent
Transportation,Zipcar,18.76,0,
7/3/2015,,,,
Entertainment,Badminton,70,-70,Synergy badminton
7/3/2015,,,,
Housing,Google Shopping Express,0,19.45,"cleaner, groceries"
Housing,Amazon,0,7.33,coffee bean scooper
Food,CVS,14.48,0,"bread, snacks"
Entertainment,Yakiniku,66,0,dinner
Entertainment,Yamasho,45,0,karaoke
11/3/2015,,,,
Housing,Simplehuman,18,0,liners
Housing,Amazon,20,0,"bag clips, command hooks"
Housing,Google Shopping Express,0,50.6,"sunscreen, earplugs, cooking stuffs, rubbing alcohol"
14/3/2015,,,,
Food,Ava's Market,82,0,Groceries
16/3/2015,,,,
Transportation,Zipcar,96.8,0,SF trip
Housing,Amazon,26.3,0,watermelon knife
Housing,Amazon,75.71,0,"knife rack, banana rack, scissors"
Food,Yakko,,,
19/3/2015,,,,
Food,Yakko,282.25,0,dinner with parents
Food,Gelato Classico,16,0,dessert with parents
Food,Ava's Market,0,9.09,groceries
Food,CVS,0,3.19,groceries
20/3/2015,,,,
Food,Pizza Antica,71,0,lunch with parents
Food,Pinkberry,20.3,0,dessert with parents
Food,Fu Lam Mum,155,0,dinner with parents
21/3/2015,,,,
Food,Han Gen,116,0,dinner with parents
22/3/2015,,,,
Food,Pho Hoa & Jazen Tea,47,0,dinner with parents
23/3/2015,,,,
Food,Shabuway,85,0,dinner with parents
Food,CVS,11.41,0,groceries
25/3/2015,,,,
Food,Safeway,58.1,0,groceries
Transportation,Zipcar,10.87,0,conference
25/3/2015,,,,
Transportation,Uber,8.91,0,badminton
28/3/2015,,,,
Food,Ava's Market,25.74,0,groceries
